Jornada,Local,Data,Adversário,Golo,Marcador,Minutos,Minutos Extra,Assitência,Bola Parada,Tipo Golo,Local Golo,Prespetiva Baliza
1,Casa,10/08/2018,Guimarães,Benfica,Pizzi,9,0,resalto,,pé esquerdo,grande área,centro
1,Casa,10/08/2018,Guimarães,Benfica,Pizzi,29,0,André Almeida,,pé direito,grande área,centro
1,Casa,10/08/2018,Guimarães,Benfica,Pizzi,38,0,Grimaldo,,pé direito,grande área,centro
1,Casa,10/08/2018,Guimarães,Guimarães,André André,75,0,Davidson,,pé direito,grande área,esquerda
1,Casa,10/08/2018,Guimarães,Guimarães,Celis,80,0,André André,,pé direito,grande área,direita
2,Fora,18/08/2018,Boavista,Benfica,Ferreyra,34,0,corte,,pé direito,grande área,esquerda
2,Fora,18/08/2018,Boavista,Benfica,Pizzi,61,0,Sálvio,,pé direito,grande área,direita
3,Casa,25/08/2018,Sporting,Sporting,Nani,63,0,,penalty,pé direito,marca penalty,
3,Casa,25/08/2018,Sporting,Benfica,J. Félix,85,0,Rafa,,cabeça,grande área,centro
4,Fora,02/09/2018,Nacional,Benfica,Seferovic,27,0,Sálvio,,pé esquerdo,grande área,direita
4,Fora,02/09/2018,Nacional,Benfica,Sálvio,44,0,Seferovic,,cabeça,grande área,direita
4,Fora,02/09/2018,Nacional,Benfica,Grimaldo,75,0,Pizzi,,pé esquerdo,grande área,esquerda
4,Fora,02/09/2018,Nacional,Benfica,Rafa,90,2,Pizzi,,pé direito,grande área,direita
5,Casa,23/09/2018,Aves,Benfica,J. Félix,33,0,Pizzi,,pé esquerdo,grande área,esquerda
5,Casa,23/09/2018,Aves,Benfica,Cervi,61,0,André Almeida,,pé direito,grande área,direita
6,Fora,27/09/2018,Chaves,Benfica,Rafa,3,0,Cervi,,pé direito,grande área,centro
6,Fora,27/09/2018,Chaves,Chaves,Ghazaryan,74,0,,livre direto,pé direito,fora da área,centro
6,Fora,27/09/2018,Chaves,Benfica,Rafa,84,0,Rúben Dias,,pé direito,grande área,direita
6,Fora,27/09/2018,Chaves,Chaves,Ghazaryan,90,3,J. Teixeira,,pé direito,grande área,direita
7,Casa,07/10/2018,Porto,Benfica,Seferovic,61,0,Pizzi,,pé direito,grande área,centro
8,Fora,27/10/2018,Belenenses,Belenenses,Eduardo,35,0,,penalty,pé direito,marca penalty,
8,Fora,27/10/2018,Belenenses,Belenenses,Keita,41,0,Eduardo,,pé direito,grande área,centro
9,Casa,02/11/2018,Moreirense,Benfica,Jonas,1,0,J. Félix,,pé esquerdo,grande área,centro
9,Casa,02/11/2018,Moreirense,Moreirense,Chiquinho,4,0,Arsénio,,pé direito,fora da área,centro
9,Casa,02/11/2018,Moreirense,Moreirense,Pedro Nuno,15,0,Arsénio,,pé direito,grande área,centro
9,Casa,02/11/2018,Moreirense,Moreirense,Mamadou Loum,35,0,Arsénio,,pé direito,fora da área,direita
10,Fora,11/11/2018,Tondela,Moreirense,Conti,1,0,própria baliza,,pé direito,grande área,direita
10,Fora,11/11/2018,Tondela,Benfica,Jonas,8,0,André Almeida,,cabeça,grande área,centro
10,Fora,11/11/2018,Tondela,Benfica,Seferovic,63,0,André Almeida,,pé esquerdo,pequena área,centro
10,Fora,11/11/2018,Tondela,Benfica,Rafa,74,0,Pizzi,,pé direito,grande área,centro
11,Casa,12/01/2019,Feirense,Benfica,Jonas,48,0,Grimaldo,,pé esquerdo,grande área,esquerda
11,Casa,12/01/2019,Feirense,Benfica,Bruno Nascimento,56,0,própria baliza,,pé direito,pequena área,centro
11,Casa,12/01/2019,Feirense,Benfica,Rafa,67,0,resalto,,pé direito,pequena área,centro
11,Casa,12/01/2019,Feirense,Benfica,Seferovic,89,0,resalto,,pé direito,pequena área,esquerda
12,Fora,08/12/2018,Setúbal,Benfica,Jonas,16,0,Gedson,,pé esquerdo,grande área,centro
13,Fora,16/12/2018,Marítimo,Benfica,Jonas,45,3,,penalty,pé direito,marca penalty,
14,Casa,23/12/2018,Braga,Benfica,Pizzi,18,0,Grimaldo,,pé direito,grande área,esquerda
14,Casa,23/12/2018,Braga,Benfica,Jardel,38,0,Zivkovic,canto,cabeça,grande área,centro
14,Casa,23/12/2018,Braga,Benfica,Grimaldo,45,2,corte,,pé direito,grande área,esquerda
